ds,crop,y
2019-03-10,maize,1795.5694444444443
2019-03-11,maize,1851.8835341365461
2019-03-12,maize,1845.4439834024897
2019-03-13,maize,1846.0
2019-03-14,maize,1857.3675213675215
2019-03-15,maize,1848.1212765957446
2019-03-16,maize,1855.266355140187
2019-03-17,maize,1792.984126984127
2019-03-18,maize,1856.9665271966528
2019-03-19,maize,1861.771551724138
2019-03-20,maize,1877.5792682926829
2019-03-21,maize,1876.8235294117646
2019-03-22,maize,1870.4102564102564
2019-03-23,maize,1851.9125
2019-03-24,maize,1806.0943396226414
2019-03-25,maize,1849.9179487179488
2019-03-26,maize,1866.8073394495414
2019-03-27,maize,1870.0550239234449
2019-03-28,maize,1866.6237623762377
2019-03-29,maize,1864.9405405405405
2019-03-30,maize,1874.4155844155844
2019-03-31,maize,1791.662162162162
2019-04-01,maize,1921.7988165680474
2019-04-02,maize,1890.547263681592
2019-04-03,maize,1967.5877192982457
2019-04-04,maize,1939.7477064220184
2019-04-05,maize,1895.6404494382023
2019-04-06,maize,1852.3949579831933
2019-04-07,maize,1834.8235294117646
2019-04-08,maize,1924.6103896103896
2019-04-09,maize,1968.8178899082568
2019-04-10,maize,1966.4166666666667
2019-04-11,maize,1966.6387434554974
2019-04-12,maize,1990.5738916256157
2019-04-13,maize,1921.588785046729
2019-04-14,maize,1801.4318181818182
2019-04-15,maize,1993.482905982906
2019-04-16,maize,1981.6326530612246
2019-04-17,maize,1876.378048780488
2019-04-18,maize,1974.4213483146068
2019-04-19,maize,1905.59375
2019-04-20,maize,2017.4
2019-04-21,maize,1880.7377049180327
2019-04-22,maize,1983.9912280701753
2019-04-23,maize,1985.2229299363057
2019-04-24,maize,1966.0726495726497
2019-04-25,maize,1982.3785046728972
2019-04-26,maize,1978.8738317757009
2019-04-27,maize,1988.6625
2019-04-28,maize,1841.1964285714287
2019-04-29,maize,1951.3238805970147
2019-04-30,maize,1955.0701754385964
2019-05-01,maize,1887.0403225806451
2019-05-02,maize,1928.2246696035243
2019-05-03,maize,1937.45
2019-05-04,maize,1921.3916083916083
2019-05-05,maize,1848.530612244898
2019-05-06,maize,1929.2522522522522
2019-05-07,maize,1890.7431192660551
2019-05-08,maize,1907.627358490566
2019-05-09,maize,1922.233830845771
2019-05-10,maize,1912.2712765957447
2019-05-11,maize,1911.7777777777778
2019-05-12,maize,1837.3061224489795
2019-05-13,maize,1920.59900990099
2019-05-14,maize,1909.5454545454545
2019-05-15,maize,1925.9692307692308
2019-05-16,maize,1897.7290322580645
2019-05-17,maize,1935.1556886227545
2019-05-18,maize,1930.719008264463
2019-05-19,maize,1885.625
2019-05-20,maize,1961.0564102564103
2019-05-21,maize,1948.3838383838383
2019-05-22,maize,1971.0714285714287
2019-05-23,maize,1995.622754491018
2019-05-24,maize,1940.4
2019-05-25,maize,1948.14
2019-05-26,maize,1861.7021276595744
2019-05-27,maize,1966.262331838565
2019-05-28,maize,1938.6980198019803
2019-05-29,maize,1993.8916256157636
2019-05-30,maize,1936.6784615384615
2019-05-31,maize,1954.943820224719
2019-06-01,maize,1923.5393258426966
2019-06-02,maize,1868.3958333333333
2019-06-03,maize,1922.5792682926829
2019-06-04,maize,1922.9386597938144
2019-06-05,maize,1863.4109589041095
2019-06-06,maize,1933.6075268817203
2019-06-07,maize,1910.0326086956522
2019-06-08,maize,1905.7375886524824
2019-06-09,maize,1806.377049180328
2019-06-10,maize,1910.3444976076555
2019-06-11,maize,1915.1719576719577
2019-06-12,maize,1899.1624365482232
2019-06-13,maize,1896.5584112149534
2019-06-14,maize,1887.0251256281408
2019-06-15,maize,1872.3548387096773
2019-06-16,maize,1780.920634920635
2019-06-17,maize,1902.3181818181818
2019-06-18,maize,1872.4029126213593
2019-06-19,maize,1885.6603773584907
2019-06-20,maize,1897.4426470588235
2019-06-21,maize,1876.810945273632
2019-06-22,maize,1859.6100628930817
2019-06-23,maize,1818.6962025316457
2019-06-24,maize,1910.9263157894738
2019-06-25,maize,1884.8019323671497
2019-06-26,maize,1958.7333333333331
2019-06-27,maize,1918.50198019802
2019-06-28,maize,1907.865671641791
2019-06-29,maize,1888.8881656804733
2019-06-30,maize,1764.2162162162163
2019-07-01,maize,1930.0004926108372
2019-07-02,maize,1877.6528301886792
2019-07-03,maize,1927.872972972973
2019-07-04,maize,1932.9080000000001
2019-07-05,maize,1972.0327586206897
2019-07-06,maize,1916.4967320261437
2019-07-07,maize,1840.6507936507937
2019-07-08,maize,1975.8557213930349
2019-07-09,maize,1937.8469945355191
2019-07-10,maize,1964.2645161290322
2019-07-11,maize,1975.6877906976742
2019-07-12,maize,1969.0532544378698
2019-07-13,maize,1921.468253968254
2019-07-14,maize,1874.9166666666667
2019-07-15,maize,2018.2132701421801
2019-07-16,maize,1975.878453038674
2019-07-17,maize,2001.2378640776699
2019-07-18,maize,1998.9095477386934
2019-07-19,maize,2019.1317919075143
2019-07-20,maize,1973.8
2019-07-21,maize,1862.4516129032259
2019-07-22,maize,1982.1556603773586
2019-07-23,maize,1992.2171717171718
2019-07-24,maize,2009.2449494949494
2019-07-25,maize,2042.6
2019-07-26,maize,2038.3954022988505
2019-07-27,maize,1952.751879699248
2019-07-28,maize,1899.7413793103449
2019-07-29,maize,1985.037688442211
2019-07-30,maize,1985.0614525139665
2019-07-31,maize,1981.5111111111112
2019-08-01,maize,2012.357142857143
2019-08-02,maize,1995.6094674556214
2019-08-03,maize,1992.8471337579617
2019-08-04,maize,1872.421875
2019-08-05,maize,1993.716049382716
2019-08-06,maize,2010.6006289308177
2019-08-07,maize,2023.3353293413174
2019-08-08,maize,2070.416149068323
2019-08-09,maize,2009.3857142857144
2019-08-10,maize,1975.6173913043478
2019-08-11,maize,1856.132075471698
2019-08-12,maize,1928.1630434782608
2019-08-13,maize,2003.6944444444443
2019-08-14,maize,2036.8857954545456
2019-08-15,maize,1949.7058823529412
2019-08-16,maize,2042.625
2019-08-17,maize,1938.2954545454545
2019-08-18,maize,1797.5438596491229
2019-08-19,maize,2017.5696808510636
2019-08-20,maize,2012.3949152542375
2019-08-21,maize,2055.2938144329896
2019-08-22,maize,2032.6781609195402
2019-08-23,maize,2013.5481481481481
2019-08-24,maize,1954.1315789473683
2019-08-25,maize,1845.9180327868853
2019-08-26,maize,2020.0408163265306
2019-08-27,maize,2014.4223602484471
2019-08-28,maize,2099.1295336787566
2019-08-29,maize,2004.8039999999999
2019-08-30,maize,1953.1543624161075
2019-08-31,maize,1984.8148148148148
2019-09-01,maize,1843.6545454545455
2019-09-02,maize,1867.7798165137615
2019-09-03,maize,1991.006993006993
2019-09-04,maize,2054.7456647398844
2019-09-05,maize,2040.7771084337348
2019-09-06,maize,1979.1308139534883
2019-09-07,maize,1949.3851351351352
2019-09-08,maize,1810.9649122807018
2019-09-09,maize,1989.8914285714286
2019-09-10,maize,1925.4615384615386
2019-09-11,maize,1986.8934911242604
2019-09-12,maize,1976.6043165467627
2019-09-13,maize,1950.4352941176471
2019-09-14,maize,2059.5416666666665
2019-09-15,maize,1853.590909090909
2019-09-16,maize,2015.045918367347
2019-09-17,maize,1967.1067415730338
2019-09-18,maize,1996.081081081081
2019-09-19,maize,2006.534090909091
2019-09-20,maize,2000.963157894737
2019-09-21,maize,1978.7485714285715
2019-09-22,maize,1901.5833333333333
2019-09-23,maize,1968.6806282722514
2019-09-24,maize,1969.174358974359
2019-09-25,maize,1983.4820512820513
2019-09-26,maize,1990.145
2019-09-27,maize,1927.318407960199
2019-09-28,maize,1967.4912280701753
2019-09-29,maize,1868.6785714285713
2019-09-30,maize,1949.1971830985915
2019-10-01,maize,1950.1589743589743
2019-10-02,maize,1951.2957746478874
2019-10-03,maize,1953.2783018867924
2019-10-04,maize,1960.5074626865671
2019-10-05,maize,1931.6705882352942
2019-10-06,maize,1941.4237288135594
2019-10-07,maize,1951.9473684210527
2019-10-08,maize,1924.9529411764706
2019-10-09,maize,1947.40625
2019-10-10,maize,1944.6172248803828
2019-10-11,maize,1899.1228813559321
2019-10-12,maize,1884.5329341317365
2019-10-13,maize,1861.4109589041095
2019-10-14,maize,1867.70625
2019-10-15,maize,1868.407843137255
2019-10-16,maize,1822.5347985347985
2019-10-17,maize,1841.0615942028985
2019-10-18,maize,1829.9339416058394
2019-10-19,maize,1821.6305220883535
2019-10-20,maize,1812.9583333333333
2019-10-21,maize,1804.0354330708662
2019-10-22,maize,1811.355072463768
2019-10-23,maize,1779.7214285714285
2019-10-24,maize,1783.9414414414414
2019-10-25,maize,1864.8192771084337
2019-10-26,maize,1847.990990990991
2019-10-27,maize,1860.8157894736842
2019-10-28,maize,1857.1052631578948
2019-10-29,maize,1829.5288461538462
2019-10-30,maize,1786.4795539033457
2019-10-31,maize,1783.268115942029
2019-11-01,maize,1720.19341563786
2019-11-02,maize,1755.4170454545454
2019-11-03,maize,1783.4615384615386
2019-11-04,maize,1762.7306501547987
2019-11-05,maize,1745.4
2019-11-06,maize,1759.726204819277
2019-11-07,maize,1755.9705882352941
2019-11-08,maize,1750.9111842105262
2019-11-09,maize,1747.3128205128205
2019-11-10,maize,1728.5507246376812
2019-11-11,maize,1728.083094555874
2019-11-12,maize,1776.125654450262
2019-11-13,maize,1711.8704225352112
2019-11-14,maize,1731.0581717451523
2019-11-15,maize,1712.7382550335572
2019-11-16,maize,1705.205047318612
2019-11-17,maize,1725.4945054945056
2019-11-18,maize,1704.3534031413612
2019-11-19,maize,1713.2136752136753
2019-11-20,maize,1719.422972972973
2019-11-21,maize,1727.7493261455525
2019-11-22,maize,1722.7585227272727
2019-11-23,maize,1747.2567567567567
2019-11-24,maize,1720.9651162790697
2019-11-25,maize,1749.6567567567567
2019-11-26,maize,1759.561224489796
2019-11-27,maize,1748.0758064516128
2019-11-28,maize,1767.0805555555555
2019-11-29,maize,1787.3693181818182
2019-11-30,maize,1773.3098159509202
2019-12-01,maize,1780.560975609756
2019-12-02,maize,1799.8935574229693
2019-12-03,maize,1792.066091954023
2019-12-04,maize,1823.5294117647059
2019-12-05,maize,1836.1080332409972
2019-12-06,maize,1834.5189504373177
2019-12-07,maize,1827.5403726708075
2019-12-08,maize,1780.821052631579
2019-12-09,maize,1837.7099447513813
2019-12-10,maize,1853.037037037037
2019-12-11,maize,1852.8562874251497
2019-12-12,maize,1849.4594594594594
2019-12-13,maize,1869.3947368421052
2019-12-14,maize,1883.4868421052631
2019-12-15,maize,1835.0
2019-12-16,maize,1867.6420454545455
2019-12-17,maize,1873.1914285714286
2019-12-18,maize,1883.558988764045
2019-12-19,maize,1899.2828571428572
2019-12-20,maize,1885.1236749116608
2019-12-21,maize,1903.1556291390727
2019-12-22,maize,1834.4777777777779
2019-12-23,maize,1906.242339832869
2019-12-24,maize,1894.3394495412845
2019-12-25,maize,1899.9928571428572
2019-12-26,maize,1876.4907063197027
2019-12-27,maize,1902.3700305810398
2019-12-28,maize,1910.4444444444443
2019-12-29,maize,1856.8846153846155
2019-12-30,maize,1908.4897959183672
2019-12-31,maize,1900.2961783439491
2020-01-01,maize,1870.1545893719806
2020-01-02,maize,1885.759842519685
2020-01-03,maize,1883.910447761194
2020-01-04,maize,1878.2142857142858
2020-01-05,maize,1886.2063492063492
2020-01-06,maize,1886.916955017301
2020-01-07,maize,1897.368
2020-01-08,maize,1898.6338582677165
2020-01-09,maize,1902.203007518797
2020-01-10,maize,1880.2683823529412
2020-01-11,maize,1888.0058479532163
2020-01-12,maize,1859.8225806451612
2020-01-13,maize,1870.7300380228137
2020-01-14,maize,1824.6782608695653
2020-01-15,maize,1890.7112676056338
2020-01-16,maize,1855.1712962962963
2020-01-17,maize,1858.2372881355932
2020-01-18,maize,1853.2918454935623
2020-01-19,maize,1838.921875
2020-01-20,maize,1839.3566433566434
2020-01-21,maize,1845.085501858736
2020-01-22,maize,1834.0898876404494
2020-01-23,maize,1832.521072796935
2020-01-24,maize,1839.7196261682243
2020-01-25,maize,1831.0736842105264
2020-01-26,maize,1785.921052631579
2020-01-27,maize,1812.0471014492753
2020-01-28,maize,1802.484
2020-01-29,maize,1785.736328125
2020-01-30,maize,1779.3708333333334
2020-01-31,maize,1807.944
2020-02-01,maize,1796.944055944056
2020-02-02,maize,1775.6041666666667
2020-02-03,maize,1799.3092783505156
2020-02-04,maize,1777.2099447513813
2020-02-05,maize,1764.532663316583
2020-02-06,maize,1771.3298969072166
2020-02-07,maize,1774.7181818181818
2020-02-08,maize,1776.326388888889
2020-02-09,maize,1771.5254237288136
2020-02-10,maize,1747.2007874015749
2020-02-11,maize,1733.68016194332
2020-02-12,maize,1711.7113821138212
2020-02-13,maize,1697.4663677130045
2020-02-14,maize,1730.2510822510822
2020-02-15,maize,1704.1041666666667
2020-02-16,maize,1699.609375
2020-02-17,maize,1684.3374485596707
2020-02-18,maize,1642.2654867256638
2020-02-19,maize,1688.3816425120774
2020-02-20,maize,1642.0900900900901
2020-02-21,maize,1784.297619047619
2020-02-22,maize,1676.3142857142857
2020-02-23,maize,1667.95
2020-02-24,maize,1620.107296137339
2020-02-25,maize,1630.131221719457
2020-02-26,maize,1630.4700460829492
2020-02-27,maize,1620.6008968609865
2020-02-28,maize,1637.3261802575107
2020-02-29,maize,1642.62
2020-03-01,maize,1710.3636363636363
2020-03-02,maize,1703.5489130434783
2020-03-03,maize,1629.9488636363637
2020-03-04,maize,1638.6009389671362
2020-03-05,maize,1609.3396226415093
2020-03-06,maize,1637.6028037383178
2020-03-07,maize,1602.6686046511627
2020-03-08,maize,1643.8863636363637
2020-03-09,maize,1625.0208333333333
2020-03-10,maize,1606.1
2020-03-11,maize,1620.1158536585365
2020-03-12,maize,1566.6410256410256
2020-03-13,maize,1545.3085106382978
2020-03-14,maize,1639.119266055046
2020-03-15,maize,1615.5625
2020-03-16,maize,1542.184331797235
2020-03-17,maize,1503.4056603773586
2020-03-18,maize,1478.010152284264
2020-03-19,maize,1472.2261306532664
2020-03-20,maize,1517.3100558659219
2020-03-21,maize,1509.900709219858
2020-03-22,maize,1547.0
2020-03-23,maize,1495.1333333333334
2020-03-24,maize,1615.0238095238096
2020-03-25,maize,1643.3333333333333
2020-03-26,maize,1460.7619047619048
2020-03-27,maize,1448.3333333333333
2020-03-28,maize,1592.8181818181818
2020-03-29,maize,1539.1666666666667
2020-03-30,maize,1458.4736842105262
2020-03-31,maize,1528.4761904761904
2020-04-01,maize,1567.6274509803923
2020-04-02,maize,1572.7777777777778
2020-04-03,maize,1630.5344827586207
2020-04-04,maize,1596.3728813559321
2020-04-05,maize,1611.6
2020-04-06,maize,1665.4146341463415
2020-04-07,maize,1576.084745762712
2020-04-08,maize,1588.264705882353
2020-04-09,maize,1545.3548387096773
2020-04-10,maize,1635.404761904762
2020-04-11,maize,1600.08
2020-04-12,maize,1565.909090909091
2020-04-13,maize,1595.3809523809523
2020-04-14,maize,1638.128205128205
2020-04-15,maize,1577.375
2020-04-16,maize,1571.1666666666667
2020-04-17,maize,1573.8636363636363
2020-04-18,maize,1479.9772727272727
2020-04-19,maize,1544.5
2020-04-20,maize,1512.1382978723404
2020-04-21,maize,1502.4949494949494
2020-04-22,maize,1505.469387755102
2020-04-23,maize,1505.29
2020-04-24,maize,1522.6261682242991
2020-04-25,maize,1568.662162162162
2020-04-26,maize,1566.8918918918919
2020-04-27,maize,1479.6666666666667
2020-04-28,maize,1495.9478260869564
2020-04-29,maize,1483.957627118644
2020-04-30,maize,1483.5748031496064
2020-05-01,maize,1614.409090909091
2020-05-02,maize,1522.3191489361702
2020-05-03,maize,1518.820512820513
2020-05-04,maize,1504.099173553719
2020-05-05,maize,1486.304347826087
2020-05-06,maize,1382.8543046357615
2020-05-07,maize,1447.209090909091
2020-05-08,maize,1416.8166666666666
2020-05-09,maize,1401.1720430107528
2020-05-10,maize,1436.725
2020-05-11,maize,1417.7428571428572
2020-05-12,maize,1386.5666666666666
2020-05-13,maize,1405.626984126984
2020-05-14,maize,1342.5939393939393
2020-05-15,maize,1320.01775147929
2020-05-16,maize,1351.275590551181
2020-05-17,maize,1395.3863636363637
2020-05-18,maize,1320.9408284023668
2020-05-19,maize,1316.7707006369426
2020-05-20,maize,1321.0357142857142
2020-05-21,maize,1317.792349726776
2020-05-22,maize,1365.9735099337747
2020-05-23,maize,1355.594827586207
2020-05-24,maize,1377.5128205128206
2020-05-25,maize,1441.0266666666666
2020-05-26,maize,1320.7525773195875
2020-05-27,maize,1352.7329842931938
2020-05-28,maize,1364.3093922651933
2020-05-29,maize,1375.8663366336634
2020-05-30,maize,1348.0
2020-05-31,maize,1470.469387755102
2020-06-01,maize,1347.3413173652696
2020-06-02,maize,1355.8141025641025
2020-06-03,maize,1350.760736196319
2020-06-04,maize,1417.8597560975609
2020-06-05,maize,1363.7513812154696
2020-06-06,maize,1358.9746835443038
2020-06-07,maize,1337.139534883721
2020-06-08,maize,1358.5915492957747
2020-06-09,maize,1334.409090909091
2020-06-10,maize,1342.0285714285715
2020-06-11,maize,1349.7437185929648
2020-06-12,maize,1349.563981042654
2020-06-13,maize,1353.984496124031
2020-06-14,maize,1369.7457627118645
2020-06-15,maize,1401.5273631840796
2020-06-16,maize,1375.7164948453608
2020-06-17,maize,1375.8069306930693
2020-06-18,maize,1385.5820895522388
2020-06-19,maize,1366.2463768115942
2020-06-20,maize,1410.7612903225806
2020-06-21,maize,1369.4423076923076
2020-06-22,maize,1370.6923076923076
2020-06-23,maize,1352.517766497462
2020-06-24,maize,1361.6421052631579
2020-06-25,maize,1325.7886597938145
2020-06-26,maize,1345.4502617801047
2020-06-27,maize,1349.9180327868853
2020-06-28,maize,1363.2115384615386
2020-06-29,maize,1376.5962441314555
2020-06-30,maize,1358.0795454545455
2020-07-01,maize,1357.5645161290322
2020-07-02,maize,1364.5776397515529
2020-07-03,maize,1352.5882352941176
2020-07-04,maize,1377.6319444444443
2020-07-05,maize,1329.140350877193
2020-07-06,maize,1339.5434782608695
2020-07-07,maize,1327.450867052023
2020-07-08,maize,1325.9306358381502
2020-07-09,maize,1337.1614906832299
2020-07-10,maize,1353.2327044025158
2020-07-11,maize,1325.3846153846155
2020-07-12,maize,1358.8846153846155
2020-07-13,maize,1358.0052083333333
2020-07-14,maize,1338.020725388601
2020-07-15,maize,1338.0879120879122
2020-07-16,maize,1355.945205479452
2020-07-17,maize,1320.8983957219252
2020-07-18,maize,1295.021505376344
2020-07-19,maize,1336.6666666666667
2020-07-20,maize,1359.2205882352941
2020-07-21,maize,1315.7988505747126
2020-07-22,maize,1280.4350282485875
2020-07-23,maize,1313.679012345679
2020-07-24,maize,1308.5176470588235
2020-07-25,maize,1265.8474576271187
2020-07-26,maize,1722.25
2020-07-27,maize,1323.120253164557
2020-07-28,maize,1295.0064516129032
2020-07-29,maize,1311.8164556962026
2020-07-30,maize,1329.8343195266273
2020-07-31,maize,1312.8993710691823
2020-08-01,maize,1371.9285714285713
2020-08-02,maize,1340.4
2020-08-03,maize,1343.3529411764705
2020-08-04,maize,1299.7674418604652
2020-08-05,maize,1309.4338235294117
2020-08-06,maize,1302.5460992907801
2020-08-07,maize,1297.891156462585
2020-08-08,maize,1321.173076923077
2020-08-09,maize,1380.0
2020-08-10,maize,1332.5320512820513
2020-08-11,maize,1278.36301369863
2020-08-12,maize,1277.5333333333333
2020-08-13,maize,1277.6573426573427
2020-08-14,maize,1307.7310344827586
2020-08-15,maize,1255.952380952381
2020-08-16,maize,1332.88
2020-08-17,maize,1299.0621118012423
2020-08-18,maize,1316.6136363636363
2020-08-19,maize,1320.4772727272727
2020-08-20,maize,1316.3949044585988
2020-08-21,maize,1298.9814814814815
2020-08-22,maize,1283.6
2020-08-23,maize,1364.0555555555557
2020-08-24,maize,1292.1180124223602
2020-08-25,maize,1270.3521126760563
2020-08-26,maize,1257.5579710144928
2020-08-27,maize,1265.79754601227
2020-08-28,maize,1254.5548387096774
2020-08-29,maize,1311.2444444444445
2020-08-30,maize,1325.6
2020-08-31,maize,1323.3950617283951
2020-09-01,maize,1295.43
2020-09-02,maize,1280.1962025316457
2020-09-03,maize,1289.6645161290323
2020-09-04,maize,1279.1463414634147
2020-09-05,maize,1274.934306569343
2020-09-06,maize,1218.125
2020-09-07,maize,1292.6744186046512
2020-09-08,maize,1243.25625
2020-09-09,maize,1279.0441988950276
2020-09-10,maize,1274.9277108433735
2020-09-11,maize,1250.5838150289017
2020-09-12,maize,1250.844827586207
2020-09-13,maize,1264.2093023255813
2020-09-14,maize,1262.068062827225
2020-09-15,maize,1245.9575757575758
2020-09-16,maize,1277.1052631578948
2020-09-17,maize,1383.2407407407406
2020-09-18,maize,1245.5593220338983
2020-09-19,maize,1232.5897435897436
2020-09-20,maize,1218.2272727272727
2020-09-21,maize,1254.1085714285714
2020-09-22,maize,1254.7297297297298
2020-09-23,maize,1266.530864197531
2020-09-24,maize,1333.9928057553957
2020-09-25,maize,1302.8235294117646
2020-09-26,maize,1300.3763440860216
2020-09-27,maize,1315.111111111111
2020-09-28,maize,1280.1418918918919
2020-09-29,maize,1273.1172413793104
2020-09-30,maize,1291.0490797546013
2020-10-01,maize,1253.7906976744187
2020-10-02,maize,1258.7916666666667
2020-10-03,maize,1275.8062015503876
2020-10-04,maize,1273.7333333333333
2020-10-05,maize,1267.1236559139784
2020-10-06,maize,1251.5875
2020-10-07,maize,1240.0710382513662
2020-10-08,maize,1258.9476744186047
2020-10-09,maize,1254.7307692307693
2020-10-10,maize,1247.0
2020-10-11,maize,1259.709090909091
2020-10-12,maize,1216.7943548387098
2020-10-13,maize,1268.3899082568807
2020-10-14,maize,1233.5251141552512
2020-10-15,maize,1262.877659574468
2020-10-16,maize,1277.2564102564102
2020-10-17,maize,1270.0890410958905
2020-10-18,maize,1293.0869565217392
2020-10-19,maize,1264.9389671361503
2020-10-20,maize,1261.6205128205129
2020-10-21,maize,1263.2153846153847
2020-10-22,maize,1270.4756756756756
2020-10-23,maize,1312.9875776397516
2020-10-24,maize,1358.54
2020-10-25,maize,1331.342105263158
2020-10-26,maize,1350.3157894736842
2020-10-27,maize,1319.5592417061612
2020-10-28,maize,1294.8976377952756
2020-10-29,maize,1328.1004566210045
2020-10-30,maize,1357.201754385965
2020-10-31,maize,1356.6533333333334
2020-11-01,maize,1322.0243902439024
2020-11-02,maize,1353.252336448598
2020-11-03,maize,1360.1691542288556
2020-11-04,maize,1361.753846153846
2020-11-05,maize,1373.6734693877552
2020-11-06,maize,1379.6612244897958
2020-11-07,maize,1367.2544642857142
2020-11-08,maize,1441.8139534883721
2020-11-09,maize,1378.0622406639004
2020-11-10,maize,1365.4485596707818
2020-11-11,maize,1438.9254385964912
2020-11-12,maize,1410.9826589595375
2020-11-13,maize,1491.9586776859503
2020-11-14,maize,1586.357142857143
2020-11-15,maize,1546.904761904762
2020-11-16,maize,1436.8846153846155
2020-11-17,maize,1421.72
2020-11-18,maize,1434.2062256809338
2020-11-19,maize,1414.3396226415093
2020-11-20,maize,1422.1052631578948
2020-11-21,maize,1450.0685483870968
2020-11-22,maize,1498.258064516129
2020-11-23,maize,1438.7601013513513
2020-11-24,maize,1415.5162454873646
2020-11-25,maize,1420.3565573770493
2020-11-26,maize,1415.3877551020407
2020-11-27,maize,1428.3960337552742
2020-11-28,maize,1471.4619565217392
2020-11-29,maize,1513.6612903225807
2020-11-30,maize,1486.2280701754387
2020-12-01,maize,1417.1371428571429
2020-12-02,maize,1432.7808219178082
2020-12-03,maize,1432.755339805825
2020-12-04,maize,1417.1417322834645
2020-12-05,maize,1426.1435185185185
2020-12-06,maize,1523.6078431372548
2020-12-07,maize,1421.2289156626507
2020-12-08,maize,1467.3125
2020-12-09,maize,1388.6892430278886
2020-12-10,maize,1383.1225296442688
2020-12-11,maize,1405.295081967213
2020-12-12,maize,1428.7123529411765
2020-12-13,maize,1518.5833333333333
2020-12-14,maize,1448.7551020408164
2020-12-15,maize,1389.2653461538462
2020-12-16,maize,1416.1346863468634
2020-12-17,maize,1435.720430107527
2020-12-18,maize,1409.4571020408164
2020-12-19,maize,1425.463590909091
2020-12-20,maize,1489.6470588235295
2020-12-21,maize,1419.272030651341
2020-12-22,maize,1392.3214285714287
2020-12-23,maize,1397.081180811808
2020-12-24,maize,1403.1736440677964
2020-12-25,maize,1521.5225225225224
2020-12-26,maize,1466.5092024539877
2020-12-27,maize,1494.764705882353
2020-12-28,maize,1387.6220472440946
2020-12-29,maize,1380.8503543307086
2020-12-30,maize,1388.8007279693486
2020-12-31,maize,1395.26953125
2021-01-01,maize,1445.0718954248366
2021-01-02,maize,1394.298245614035
2021-01-03,maize,1468.7924528301887
2021-01-04,maize,1374.8983050847457
2021-01-05,maize,1378.3488372093022
2021-01-06,maize,1405.5577889447236
2021-01-07,maize,1389.9558011049724
2021-01-08,maize,1406.725
2021-01-09,maize,1444.1652173913044
2021-01-10,maize,1470.7307692307693
2021-01-11,maize,1368.1090047393366
2021-01-12,maize,1370.0283018867924
2021-01-13,maize,1391.4850299401198
2021-01-14,maize,1430.21875
2021-01-15,maize,1359.7989130434783
2021-01-16,maize,1356.721052631579
2021-01-17,maize,1405.4035087719299
2021-01-18,maize,1361.003861003861
2021-01-19,maize,1352.6833333333334
2021-01-20,maize,1333.3621399176955
2021-01-21,maize,1338.85546875
2021-01-22,maize,1376.109243697479
2021-01-23,maize,1399.1027397260275
2021-01-24,maize,1413.709090909091
